Output,Width,Offset,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,-5.078125,False
'\xa6choose:',182e575ba4447558270497660058c759,30.078125,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,30.078125,-1.171875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,0.78125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,2.734375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,4.6875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,6.640625,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,8.59375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.078125,10.546875,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,-7.03125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,-5.078125,False
'\xa6choose:',182e575ba4447558270497660058c759,30.46875,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,30.46875,-1.171875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,0.78125,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,2.734375,False
'choose:',e6fa891f004da81d214eb1b265e0277d,30.46875,4.6875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,30.46875,6.640625,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,30.46875,8.59375,False
