Output,Width,Offset,Success
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'winner!\n',be42e0eaa55fec980f85a0682117084c,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.8125,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,32.8125,-19.921875,True
'250000 244 244\n250000 244 244\n',ffbd1db6dcd11a46450f39ea38da7d7c,32.8125,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,32.8125,-19.921875,True
'fail!\n250000 500 500\nchoose:',0312d0d5132aa1c49250314cbbd97a9c,32.8125,-19.921875,True
'fail!\n',e78fac376c809d6ecb5c5d785a902893,32.8125,-19.921875,True
'winner!\n250000 500 500\n250000 50',2fbf2de87d1d7e8a32373e46f0eedb9e,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.203125,-19.921875,True
'winner!\n250000 500 500\n250000 50',2fbf2de87d1d7e8a32373e46f0eedb9e,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',0d7dc4266497100e4831f5b31b6b274f,33.203125,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,33.203125,-19.921875,True
'250000 16628 16628\n250000 16628 ',4ad3f8b5ba8c71843563ea889c344f23,33.203125,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,33.203125,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.203125,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,33.203125,-19.921875,True
'winner!\n',be42e0eaa55fec980f85a0682117084c,33.59375,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,33.59375,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,33.59375,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,-19.921875,True
'\x10250000 500 500\n250000 500 500\n',c29616fb45d69b95ed1449bb440f8ae7,33.59375,-19.921875,True
'250000 244 244\n250000 244 244\n',ffbd1db6dcd11a46450f39ea38da7d7c,33.59375,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,33.59375,-19.921875,True
'',d41d8cd98f00b204e9800998ecf8427e,33.59375,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,33.59375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.59375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.59375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.59375,-19.921875,True
'fail!\n',e78fac376c809d6ecb5c5d785a902893,33.59375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,33.59375,-19.921875,True
